run_id,source,season,ptype,variant,out_file,dino_sim,ssim,clip_season_prob,clip_directional,structure_score,season_score,disqualified,score,gen_time_sec,manual_score,manual_comment
20260706-183744,levir_val_1.png,summer,zero_shot,0,levir_val_1__summer__zero_shot__v0.png,0.777,0.0668,0.9976,,0.6349,0.9976,False,0.78,18.147,,
20260706-183744,levir_val_1.png,summer,contextual,0,levir_val_1__summer__contextual__v0.png,0.9197,0.7903,0.9923,,0.8938,0.9923,False,0.9332,18.029,,
20260706-183744,levir_val_1.png,summer,positive,0,levir_val_1__summer__positive__v0.png,0.8347,0.6018,0.9976,,0.7881,0.9976,False,0.8719,18.057,,
20260706-183744,levir_val_1.png,summer,negative,0,levir_val_1__summer__negative__v0.png,0.8138,0.2435,0.9973,,0.6997,0.9973,False,0.8188,35.962,,
20260706-183744,levir_val_1.png,summer,few_shot,0,levir_val_1__summer__few_shot__v0.png,0.7868,0.4043,0.997,,0.7103,0.997,False,0.8249,18.084,,
20260706-183744,levir_val_1.png,summer,cot,0,levir_val_1__summer__cot__v0.png,0.8256,0.5777,0.9977,,0.7761,0.9977,False,0.8647,18.089,,
20260706-183744,levir_val_1.png,summer,kontext_guide,0,levir_val_1__summer__kontext_guide__v0.png,0.8488,0.7121,0.9972,,0.8215,0.9972,False,0.8917,18.097,,
20260706-183744,levir_val_1.png,summer,hybrid,0,levir_val_1__summer__hybrid__v0.png,0.8489,0.6535,0.9968,,0.8098,0.9968,False,0.8846,18.095,,
20260706-183744,levir_val_1.png,autumn,zero_shot,0,levir_val_1__autumn__zero_shot__v0.png,0.7342,0.3686,0.7519,0.1068,0.6611,0.6527,False,0.6577,18.101,,
20260706-183744,levir_val_1.png,autumn,contextual,0,levir_val_1__autumn__contextual__v0.png,0.7421,0.362,0.9593,0.1514,0.6661,0.7675,False,0.7067,18.102,,
20260706-183744,levir_val_1.png,autumn,positive,0,levir_val_1__autumn__positive__v0.png,0.731,0.2997,0.9548,0.1367,0.6447,0.7616,False,0.6915,18.102,,
20260706-183744,levir_val_1.png,autumn,negative,0,levir_val_1__autumn__negative__v0.png,0.6665,0.0946,0.9974,0.1974,0.5521,0.798,False,0.6505,36.006,,
20260706-183744,levir_val_1.png,autumn,few_shot,0,levir_val_1__autumn__few_shot__v0.png,0.7757,0.4495,0.9847,0.1976,0.7105,0.7917,False,0.743,18.098,,
20260706-183744,levir_val_1.png,autumn,cot,0,levir_val_1__autumn__cot__v0.png,0.7723,0.3712,0.9549,0.1648,0.6921,0.7687,False,0.7227,18.096,,
20260706-183744,levir_val_1.png,autumn,kontext_guide,0,levir_val_1__autumn__kontext_guide__v0.png,0.7512,0.4102,0.9716,0.1637,0.683,0.7767,False,0.7205,18.102,,
20260706-183744,levir_val_1.png,autumn,hybrid,0,levir_val_1__autumn__hybrid__v0.png,0.7265,0.2736,0.955,0.1376,0.6359,0.7619,False,0.6863,18.099,,
20260706-183744,levir_val_1.png,winter,zero_shot,0,levir_val_1__winter__zero_shot__v0.png,0.5667,0.2913,0.2495,0.2851,0.5116,0.446,False,0.4854,18.101,,
20260706-183744,levir_val_1.png,winter,contextual,0,levir_val_1__winter__contextual__v0.png,0.7187,0.2699,0.3354,0.2163,0.6289,0.4718,False,0.5661,18.095,,
